@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
86,'2020/05/04 09:22:57:547',1,105.207626,3.809994,111.300674,1,1,0.361113,0.971249
87,'2020/05/04 09:22:57:557',1,105.207626,3.809994,110.896149,1,1,0.361113,0.971249
88,'2020/05/04 09:22:57:557',1,105.207626,4.113901,110.896149,1,1,0.361113,0.971249
89,'2020/05/04 09:22:57:557',1,105.00016,4.113901,110.896149,1,1,0.361113,0.971249
90,'2020/05/04 09:22:57:566',1,105.00016,4.113901,111.880623,1,1,0.361113,0.971249
91,'2020/05/04 09:22:57:566',1,105.00016,4.478512,111.880623,1,1,0.361113,0.971249
92,'2020/05/04 09:22:57:568',1,104.926636,4.478512,111.880623,1,1,0.361113,0.971249
93,'2020/05/04 09:22:57:576',1,104.926636,4.478512,110.45311,1,1,0.361113,0.971249
94,'2020/05/04 09:22:57:577',1,104.926636,4.621725,110.45311,1,1,0.361113,0.971249
95,'2020/05/04 09:22:57:577',1,105.032158,4.621725,110.45311,1,1,0.361113,0.971249
96,'2020/05/04 09:22:57:588',1,105.032158,4.621725,110.477982,1,1,0.361113,0.971249
97,'2020/05/04 09:22:57:589',1,105.032158,4.792063,110.477982,1,1,0.361113,0.971249
98,'2020/05/04 09:22:57:589',1,104.915421,4.792063,110.477982,1,1,0.361113,0.971249
99,'2020/05/04 09:22:57:605',1,104.915421,4.792063,110.443398,1,1,0.361113,0.971249
100,'2020/05/04 09:22:57:606',1,104.915421,4.960802,110.443398,1,1,0.361113,0.971249
101,'2020/05/04 09:22:57:606',1,104.7565,4.960802,110.443398,1,1,0.361113,0.971249
102,'2020/05/04 09:22:57:617',1,104.7565,4.960802,108.303444,1,1,0.361113,0.971249
103,'2020/05/04 09:22:57:617',1,104.7565,5.032213,108.303444,1,1,0.361113,0.971249
